;file;normalized_mean;normalized_conf_1_low;normalized_conf_1_high;normalized_conf_2_low;normalized_conf_2_high
0;results/case-studies/geodist/counter-eventual/;0.017394553909063196;0.0125007408639948;0.02228836695413159;0.006536384510707821;0.028252723307418563
0;results/case-studies/geodist/concertTickets-mixed/;0.7363782160696662;0.7176598599746251;0.7550965721647074;0.6969114374952321;0.7758449946441004
0;results/case-studies/geodist/messageGroups-mixed/;0.16323348708436455;0.15407072287579063;0.1723962512929385;0.14403964289984728;0.1824273312688818
0;results/case-studies/geodist/eshop-mixed/;0.07035231487882553;0.05368115132135721;0.08702347843629384;0.0327470180366276;0.10795761172102343
0;results/case-studies/geodist/twitterClone-mixed-lesssync/;0.1784605938999901;0.16757252878946902;0.1893486590105112;0.1556526485632907;0.20126853923668953
0;results/case-studies/local/counter-mixed/;0.15950213013188566;0.13684010522995516;0.18216415503381617;0.10922066187210454;0.20978359839166674
0;results/case-studies/local/concert-mixed/;0.9640124332711203;0.8354789767024771;1.0925458898397635;0.6788282564491435;1.249196610093097
0;results/case-studies/local/eshop-mixed/;0.3813465362340061;0.29994128404253456;0.46275178842547765;0.1935053651276218;0.5691877073403904
0;results/case-studies/local/messageGroups-eventual/;0.3587877457861013;0.3515162976377404;0.3660591939344622;0.3426541879572372;0.37492130361496534
0;results/case-studies/local/twitterClone-mixed/;0.2800663795824123;0.2701024903402154;0.2900302688246092;0.2579589561353214;0.3021738030295032
0;results/case-studies/datacenter/counter-mixed/;0.14566709105339296;0.14169319248720932;0.1496409896195766;0.13670313153809116;0.15463105056869472
0;results/case-studies/datacenter/concert-mixed/;0.828469496696254;0.8276989519930502;0.8292400413994578;0.8267313719280411;0.8302076214644669
0;results/case-studies/datacenter/eshop-mixed/;0.2543360215252314;0.22814818551370086;0.2805238575367619;0.1952638791715421;0.3134081638789206
0;results/case-studies/datacenter/messageGroups-eventual/;0.4064932389747358;0.3670860152935689;0.44590046265590266;0.31905828665668867;0.49392819129278287
0;results/case-studies/datacenter/twitterClone-mixed/;0.3009848523640803;0.2958964468027701;0.3060732579253905;0.2896949299572738;0.3122747747708868
