;file;mean;median;len;std;conf_1_low;conf_1_high;conf_2_low;conf_2_high
0;../results/default/large-local-bench-results/webshop/mixed/;163.52773289315664;164.50905929459992;40;9.628132242982582;161.96594263770487;165.0895231486084;160.34224973364118;166.7132160526721
0;../results/default/large-local-bench-results/webshop/mixed_trigger/;122.36746240990388;122.51190603698036;40;5.511387746777831;121.47345395014186;123.2614708696659;120.54401084008187;124.19091397972589
0;../results/default/large-local-bench-results/webshop/op_mixed/;571.5569216136795;573.9424318208751;40;50.02208540307329;563.4427823841486;579.6710608432104;555.007033573715;588.106809653644
0;../results/default/large-local-bench-results/webshop/op_mixed_trigger/;412.13295811716546;410.8100642343554;40;36.970718896864504;406.1358958570107;418.1300203773202;399.90113584166886;424.36478039266206
0;../results/default/large-local-bench-results/trigger-chat/mixed/;182.46375310838727;184.61965985543276;40;14.499235409444124;180.11181568142933;184.8156905353452;177.66665757033027;187.26084864644423
0;../results/default/large-local-bench-results/trigger-chat/mixed_trigger/;167.54967304420506;172.99016764554722;40;10.77700077364779;165.80152352085938;169.29782256755075;163.98408486903628;171.11526121937385
0;../results/default/large-local-bench-results/trigger-chat/op_mixed/;565.3140979538437;561.6861356008095;40;48.691958511454104;557.4157201165973;573.21247579109;549.2042845520688;581.4239113556185
0;../results/default/large-local-bench-results/trigger-chat/op_mixed_trigger/;443.1992295803777;442.97624377379196;40;24.835343741420832;439.17066029328504;447.22779886747037;434.9824158461527;451.41604331460263
0;../results/default/large-local-bench-results/trigger-document-share/mixed/;246.0713148068506;241.3192085633047;40;40.47151474173677;239.5063844806094;252.63624513309182;232.68124855138893;259.4613810623123
0;../results/default/large-local-bench-results/trigger-document-share/mixed_trigger/;220.15549627073824;219.6496381582132;40;37.85829470302171;214.01445933200125;226.29653320947526;207.63001810103975;232.68097444043673
0;../results/default/large-local-bench-results/trigger-document-share/op_mixed/;796.7866630913397;786.879489227894;40;74.02881746028179;784.7783646161756;808.7949615665038;772.2941088360276;821.2792173466518
0;../results/default/large-local-bench-results/trigger-document-share/op_mixed_trigger/;557.459648505511;548.0263753887971;40;51.5527033357362;549.0972260044458;565.8220710065763;540.4033530414375;574.5159439695846
