;file;mean;median;len;std;conf_1_low;conf_1_high;conf_2_low;conf_2_high
0;results/case-studies/geodist/counter-mixed/;784.0169780046622;719.630112175;296;203.94696325519683;772.1223080286903;795.911647980634;760.167397662569;807.8665583467554
0;results/case-studies/geodist/counter-eventual/;28.565076802222222;32.96089403;9;21.31238100572087;20.52853006357554;36.6016235408689;10.733953082863522;46.39620052158091
0;results/case-studies/geodist/counter-strong/;1642.1850742225;1748.1473632949999;16;188.32516693079182;1591.8828239870063;1692.4873244579935;1536.1251316848143;1748.2450167601855
0;results/case-studies/geodist/concertTickets-mixed/;5481.8243507168745;5611.02335686;16;521.6903890328595;5342.479190841207;5621.169510592542;5188.021596761948;5775.627104671801
0;results/case-studies/geodist/concertTickets-strong/;7444.305427685626;7693.783371915;16;582.5064936241765;7288.716093112773;7599.894762258478;7116.25259094335;7772.358264427901
0;results/case-studies/geodist/eshop-mixed/;6214.12599181;7535.66811293;8;3618.314607060292;4741.584385259967;7686.6675983600335;2892.5003574676352;9535.751626152363
0;results/case-studies/geodist/eshop-strong/;88328.66413156668;97631.7307646;9;32537.851880289763;76059.17780148843;100598.15046164492;61105.68692015722;115551.64134297612
0;results/case-studies/geodist/eshop-strong-with-10mswait/;57484.38993408082;6e-06;99;196357.03032529456;37547.182535396074;77421.59733276557;17301.84713432368;97666.93273383795
0;results/case-studies/geodist/messageGroups-mixed/;213.34622730277778;223.19346074;18;47.92451081281266;201.3704911319647;225.32196347359084;188.25986593571514;238.43258866984038
0;results/case-studies/geodist/messageGroups-causal/;983.5566880788889;841.65911291;9;397.7779093104242;833.5612108529383;1133.5521653048395;650.7535577370422;1316.3598184207353
0;results/case-studies/geodist/messageGroups-strong/;1307.0003656327779;1228.690386575;18;455.36851540428296;1193.2094659765094;1420.7912652890464;1068.6350920208338;1545.3656392447217
0;results/case-studies/geodist/twitterClone-mixed/;396.55623787499997;391.27958254;18;104.35168506991029;370.48005622636197;422.63241952363796;341.9327469613314;451.17972878866846
0;results/case-studies/geodist/twitterClone-mixed-lesssync/;154.1566424661111;150.736005115;18;37.637960910766026;144.75138652859607;163.56189840362612;134.45483492518946;173.85845000703273
