;file;mean;median;len;std;conf_1_low;conf_1_high;conf_2_low;conf_2_high
0;results/invariants/bankaccount/opmixed/;163.70531513817014;170.61209218464245;12;43.47830025478958;149.9722296099351;177.43840066640516;134.14582398671877;193.2648062896215
0;results/invariants/bankaccount/opstrong/;115.65438729260786;125.46294330899279;12;14.871262654637864;110.95714014283017;120.35163444238556;105.54389644373315;125.76487814148257
0;results/invariants/bankaccountlww/opmixed/;210.45187596483723;199.18636727481243;12;56.2767245549203;192.6762714211314;228.22748050854307;172.19114976888665;248.71260216078778
0;results/invariants/bankaccountlww/opstrong/;113.00866961753026;116.58999511116076;12;10.302488244682266;109.75451866432525;116.26282057073527;106.00434083002045;120.01299840504005
0;results/invariants/consensus/opmixed/;203.82990460533162;199.78911210939583;12;57.84985122927007;185.55741119892897;222.1023980117343;164.49966042597202;243.1601487846912
0;results/invariants/consensus/opstrong/;106.19660928879883;117.78422199391687;12;19.98151783821683;99.88523345653049;112.50798512106716;92.61182110089645;119.78139747670119
0;results/invariants/creditaccount/opmixed/;164.6438813679465;167.399384803885;12;58.82189308898735;146.0643581577499;183.22340457814312;124.65277734395698;204.634985391936
0;results/invariants/creditaccount/opstrong/;98.49806182445042;97.75192695487382;12;8.474511265349278;95.82129692483335;101.17482672406749;92.73651550610344;104.25960814279738
0;results/invariants/distributedlock/opmixed/;219.02117108415123;225.48937665600852;12;62.85135427213053;199.16889952048808;238.8734426478144;176.29056663143655;261.7517755368659
0;results/invariants/distributedlock/opstrong/;101.9609251744871;93.05591863884865;12;13.017006173434904;97.84936473965496;106.07248560931924;93.11108337875936;110.81076697021484
0;results/invariants/jointbankaccount/opmixed/;235.0229008311994;174.32714673742407;12;98.75572364727346;203.82985070497358;266.2159509574252;167.88207604734228;302.1637256150565
0;results/invariants/jointbankaccount/opstrong/;91.23128974455601;92.10566920669729;12;5.463039440400698;89.50573038645118;92.95684910266084;87.5171457910843;94.94543369802771
0;results/invariants/resettablecounter/opmixed/;209.2357040559482;206.76454271636374;12;57.3406567475974;191.12404516530023;227.34736294659615;170.25164474782704;248.2197633640693
0;results/invariants/resettablecounter/opstrong/;97.50398377233383;100.62936545129295;12;8.79395915080555;94.72631784606492;100.28164969860273;91.52525516102327;103.48271238364438
0;results/invariants/tournament/opmixed/;179.39828026196278;157.85456371630784;12;53.16153470530242;162.60664170567566;196.1899188182499;143.25547096375766;215.54108956016785
0;results/invariants/tournament/opstrong/;73.76747370285139;72.51126908074852;12;4.60505841132716;72.31291681689522;75.22203058880756;70.63664332163044;76.89830408407234
