;file;mean;median;len;std;conf_1_low;conf_1_high;conf_2_low;conf_2_high
0;results/geodist/counter-weak/;28.965772465566555;5.1e-05;4545;358.6055771436865;23.64523997721943;34.286304953913685;18.3231687850017;39.608376146131405
0;results/geodist/counter-strong/;1642.1850742225;1748.1473632949999;16;188.32516693079182;1591.8828239870063;1692.4873244579935;1536.1251316848143;1748.2450167601855
0;results/geodist/concertTickets-weak/;171.51500167810784;5.1e-05;4545;2134.9030608962944;139.8400311284468;203.18997222776886;108.15590014232711;234.87410321388853
0;results/geodist/concertTickets-strong/;7444.305427685626;7693.783371915;16;582.5064936241765;7288.716093112773;7599.894762258478;7116.25259094335;7772.358264427901
0;results/geodist/eshop-weak/;6264.9460432222195;6e-06;99;25304.436259769525;3695.6476942807794;8834.24439216366;1086.6410375524902;11443.251048891947
0;results/geodist/eshop-strong/;88328.66413156668;97631.7307646;9;32537.851880289763;76059.17780148843;100598.15046164492;61105.68692015722;115551.64134297612
0;results/geodist/messageGroups-weak/;54.467807484163906;0.000151;13545;995.278845228779;45.915234993995085;63.02037997433273;37.362065750985515;71.57354921734229
0;results/geodist/messageGroups-strong/;1307.0003656327779;1228.690386575;18;455.36851540428296;1193.2094659765094;1420.7912652890464;1068.6350920208338;1545.3656392447217
0;results/geodist/twitterClone-weak/;54.7026652568757;5.1e-05;1818;582.4256166189848;41.035074636975004;68.3702558767764;27.356753895291465;82.04857661845992
0;results/geodist/twitterClone-strong/;863.8133444322223;822.7520139149999;18;227.1862749122618;807.0423342782351;920.5843545862094;744.8913795874163;982.7353092770281
0;results/local/counter-weak/;5.360814255149501;0.000151;13545;99.13248197095582;4.508954756425738;6.212673753873264;3.657035819494773;7.064592690804228
0;results/local/counter-strong/;90.40235315888889;101.87479465;9;31.965199394389096;78.34880461946423;102.45590169831354;63.658488878200416;117.14621743957734
0;results/local/concert-weak/;23.88468114257426;5.1e-05;4545;256.903757247772;20.073070632491373;27.696291652657145;16.260357800440165;31.50900448470835
0;results/local/concert-strong/;184.33853453333333;207.14625678000002;9;65.18066696553322;159.75998198286698;208.9170870837997;129.80476205334816;238.87230701331848
0;results/local/eshop-weak/;213.54173660404044;6e-06;495;766.9532270735889;178.99916744298218;248.0843057650987;144.3528739200729;282.7305992880079
0;results/local/eshop-strong/;1376.4298636111114;1581.8621891;9;489.906369356257;1191.6942663150883;1561.1654609071345;966.546937787461;1786.3127894347613
0;results/local/messageGroups-weak/;6.0971759300330035;5.1e-05;4545;62.52313591323924;5.169537329012464;7.024814531053543;4.241630453884205;7.9527214061818015
0;results/local/messageGroups-strong/;81.88596665222221;83.04588487000001;9;2.8011158351580665;80.82971215285076;82.94222115159366;79.54239729713461;84.2295360073098
0;results/local/twitterClone-weak/;5.794676299889989;5.1e-05;4545;59.085794187838474;4.918036594283222;6.671316005496758;4.0411433635056;7.548209236274378
0;results/local/twitterClone-strong/;71.51862004555556;72.04844813;9;2.1951052321816102;70.69088213162;72.34635795949113;69.68207287790052;73.3551672132106
