;file;normalized_mean;normalized_conf_1_low;normalized_conf_1_high;normalized_conf_2_low;normalized_conf_2_high
0;results/strong-weak/local/messageGroups-25perc-weak/;0.8861591475434385;0.6762768063350427;1.0960414887518344;0.4663855921846186;1.3059327029022583
0;results/strong-weak/local/messageGroups-50perc-weak/;0.7142427147129492;0.5458691643284449;0.8826162650974535;0.377488495818885;1.0509969336070133
0;results/strong-weak/local/messageGroups-75perc-weak/;0.5506536541147021;0.4198760171700381;0.6814312910593663;0.28909285149730407;0.8122144567321002
0;results/strong-weak/local/messageGroups-100perc-weak/;0.3478130723892213;0.2655758861468094;0.4300502586316333;0.18333522326228496;0.5122909215161576
0;results/strong-weak/datacenter/messageGroups-25perc-weak/;0.8486094902008597;0.6481534124410929;1.0490655679606267;0.4476888602420427;1.2495301201596765
0;results/strong-weak/datacenter/messageGroups-50perc-weak/;0.7150223091481364;0.5463183388716606;0.8837262794246122;0.37760723650136685;1.0524373817949055
0;results/strong-weak/datacenter/messageGroups-75perc-weak/;0.5207454580094629;0.3979055296941932;0.6435853863247327;0.2750604082237658;0.7664305077951599
0;results/strong-weak/datacenter/messageGroups-100perc-weak/;0.3767895618022902;0.2878374529427478;0.4657416706618326;0.19888158356242666;0.5546975400421537
0;results/strong-weak/geodist/messageGroups-25perc-weak/;0.8207678874262837;0.6197833035559046;1.0217524712966628;0.4187902229032283;1.2227455519493389
0;results/strong-weak/geodist/messageGroups-50perc-weak/;0.6275992987018542;0.4735465258005018;0.7816520716032066;0.3194872401962922;0.935711357207416
0;results/strong-weak/geodist/messageGroups-75perc-weak/;0.44119269012026596;0.33375853743563205;0.5486268428048999;0.2263198428871941;0.6560655373533377
0;results/strong-weak/geodist/messageGroups-100perc-weak/;0.24789938299240974;0.18725747314293922;0.3085412928418803;0.12661299960875144;0.3691857663760679
