;file;normalized_mean;normalized_conf_1_low;normalized_conf_1_high;normalized_conf_2_low;normalized_conf_2_high
0;results/case-studies/geodist/counter-weak/;0.01776818637965117;0.017134715606876377;0.018401657152425963;0.01650105954101522;0.01903531321828712
0;results/case-studies/geodist/concertTickets-weak/;0.0232513599016153;0.022347078513121534;0.02415564129010906;0.021442532618202823;0.02506018718502777
0;results/case-studies/geodist/messageGroups-weak/;0.04177512495917752;0.040755835159831486;0.04279441475852355;0.03973647386351436;0.04381377605484067
0;results/case-studies/geodist/eshop-weak/;0.07801367788405458;0.06635986530733844;0.08966749046077073;0.05450743328854489;0.10151992247956426
0;results/case-studies/geodist/twitterClone-weak/;0.06378624459096;0.05986118543532467;0.06771130374659531;0.055933012339790505;0.07163947684212947
0;results/case-studies/local/counter-weak/;0.05892264520429751;0.057654517945130455;0.06019077246346457;0.056386301734560114;0.061458988674034896
0;results/case-studies/local/concert-weak/;0.13022603650937323;0.12565297050340818;0.13479910251533828;0.121078566854807;0.13937350616393943
0;results/case-studies/local/eshop-weak/;0.17051858467126005;0.15791792947585379;0.18311923986666634;0.14527558279794292;0.19576158654457715
0;results/case-studies/local/messageGroups-weak/;0.07466994152668827;0.07175891387667666;0.07758096917669988;0.0688470347378183;0.08049284831555824
0;results/case-studies/local/twitterClone-weak/;0.08020263675097154;0.07732027928445931;0.08308499421748379;0.07443707871525956;0.08596819478668351
0;results/case-studies/datacenter/counter-weak/;0.05776960291423192;0.055920215066691016;0.059618990761772836;0.054070286264781116;0.06146891956368273
0;results/case-studies/datacenter/concert-weak/;0.11882680640585967;0.1147778015472091;0.12287581126451025;0.11072761233619496;0.12692600047552438
0;results/case-studies/datacenter/eshop-weak/;0.3016134571541535;0.25233262309923876;0.35089429120906823;0.20221188092836095;0.401015033379946
0;results/case-studies/datacenter/messageGroups-weak/;0.05740633943786382;0.05594937487977241;0.058863303995955234;0.0544923081244914;0.060320370751236245
0;results/case-studies/datacenter/twitterClone-weak/;0.11728510088022565;0.11078157769018666;0.12378862407026461;0.10427289493960563;0.13029730682084567
