;file;mean;median;len;std;conf_1_low;conf_1_high;conf_2_low;conf_2_high
0;results/contention/counter-mixed-10/;0.24048863477777777;0.131185;9000;0.610959085075865;0.23404770502587266;0.24692956452968287;0.2276059655175207;0.2533713040380349
0;results/contention/counter-strong-10/;27.427923734222222;26.5203585;9000;12.814599903431308;27.292828046486402;27.563019421958042;27.157715374462864;27.69813209398158
0;results/contention/counter-mixed-50/;0.33578451666666664;0.243359;9000;0.6180738529981824;0.32926858071302373;0.34230045262030956;0.3227518255731221;0.3488172077602112
0;results/contention/counter-strong-50/;13.181749133444445;11.632252;9000;11.931216400689262;13.055966362439289;13.3075319044496;12.930167777970292;13.433330488918598
0;results/contention/counter-mixed-100/;0.35719378444444444;0.261775;9000;0.5901981894221282;0.35097172281932354;0.36341584606956534;0.3447488789539504;0.3696386899349385
0;results/contention/counter-strong-100/;12.356647471222223;11.8151785;9000;8.903957999928954;12.262779044690298;12.450515897754148;12.168898816979588;12.544396125464857
0;results/contention/counter-mixed-200/;0.38946473555555555;0.297605;9000;0.5925352851156385;0.3832180355061063;0.3957114356050048;0.3769705501188515;0.4019589209922596
0;results/contention/counter-strong-200/;10.482209654222222;10.718259;9000;5.890284857340027;10.42011235194522;10.544306956499225;10.358007242768778;10.606412065675666
0;results/contention/counter-mixed-500/;0.41028829666666666;0.30821699999999996;9000;0.6539532802896714;0.4033941080994394;0.41718248523389395;0.3964990527918728;0.4240775405414605
0;results/contention/counter-strong-500/;10.955765251777777;10.6588065;9000;8.92521201348986;10.86167275850941;11.049857745046143;10.767568435892494;11.14396206766306
0;results/contention/counter-mixed-20/;1.90893609;0.302655;4500;4.554710812758579;1.841021902285774;1.9768502777142263;1.7730878493623061;2.044784330637694
0;results/contention/counter-strong-20/;14.425670599777778;5.4284915;4500;20.22016856519486;14.124172572789268;14.727168626766288;13.822586356254604;15.028754843300952
0;results/contention/eshop-mixed-10/;7165.38882528889;28.100348;90;9698.848197348629;6131.482150627174;8199.295499950607;5079.954292723531;9250.82335785425
0;results/contention/eshop-mixed-50/;3218.2379588444446;2.945214;90;6845.967851341818;2488.4511107569815;3948.024806931908;1746.226285342497;4690.249632346391
0;results/contention/eshop-mixed-100/;5883.872567866666;3.643338;90;9117.63193300222;4911.924113696944;6855.821022036389;3923.410448921306;7844.334686812025
0;results/contention/eshop-mixed-500/;2973.7837479;3.004044;90;6793.376639411173;2249.603174283201;3697.9643215167994;1513.0801727658165;4434.487323034183
0;results/contention/eshop-strong-50/;88128.68466286667;67836.946006;90;75924.43704099934;80035.065644468;96222.30368126533;71803.50463642098;104453.86468931235
0;results/contention/local/counter-mixed-10ms/;1.0104672704222222;0.1081045;45000;2.842010581044365;0.9970693154224295;1.0238652254220149;0.9836714628894506;1.0372630779549936
0;results/contention/local/counter-strong-10ms/;4.847309983177778;2.184322;45000;7.436339752021848;4.81225320118503;4.882366765170527;4.777196687304597;4.9174232790509596
0;results/contention/counter-mixed-10-rerun/;2.111576784222222;0.2066405;4500;4.071925059667853;2.0508612977228595;2.172292270721585;1.9901280516671493;2.2330255167772948
0;results/contention/counter-mixed-50-rerun/;2.1186165017777783;0.29991199999999996;4500;4.002439872166342;2.0589370920484527;2.178295911507104;1.999240225819954;2.2379927777356023
0;results/contention/counter-mixed-100-rerun/;1.9826811220000002;0.30642349999999996;4500;3.6812516640570485;1.9277908717044696;2.037571372295531;1.8728845657607138;2.0924776782392867
0;results/contention/counter-mixed-200-rerun/;2.094949232222222;0.318021;4500;3.7430447595725544;2.0391376000737473;2.150760864370697;1.9833096427686592;2.206588821675785
0;results/contention/counter-mixed-500-rerun/;2.124598745333333;0.32709350000000004;4500;3.8102517967117335;2.0677850053620737;2.1814124853045924;2.010954647113098;2.238242843553568
0;results/contention/counter-mixed-20-rerun/;1.9412203695555557;0.257638;4500;3.712296198029692;1.885867221747012;1.9965735173640993;1.8304978828906124;2.051942856220499
0;results/contention/counter-strong-20-rerun/;21.197097468444444;20.508161;4500;10.514239535781744;21.040322194039494;21.353872742849394;20.8835010621527;21.510693874736187
