iteration,ns
533,27149911
534,56162707
535,32466225
536,21758027
537,29358756
538,28124866
539,28127270
540,29379287
541,27718619
542,41130291
543,26795524
544,32901915
545,46279459
546,46622365
547,74965349
548,47825524
549,46221656
550,37742863
551,29390134
552,28902833
553,23537442
554,79803844
555,25498922
556,29356590
557,24209488
558,30489351
559,21838570
560,31556288
561,27162382
562,34838878
563,21762420
564,24115246
565,31483245
566,24032692
567,36320807
568,23086058
569,29360936
570,28264926
571,22880537
572,30806324
573,32924618
574,29354451
575,26209729
576,26645874
577,29821568
578,41596585
579,32234651
580,24878525
581,34353920
582,22356782
583,34354637
584,28521152
585,26553111
586,27066396
587,24881936
588,30581127
589,25272449
590,24135501
591,27133539
592,29231964
593,25410078
594,29976901
595,23041026
596,28491165
597,23507002
598,33390891
599,21996355
600,30583764
601,27202387
602,26685082
603,28909304
604,29594840
605,32404721
606,24884118
607,26990616
608,24551702
609,47598186
610,31249377
611,21637109
612,30256836
613,23388031
614,30822530
615,27583498
616,26368468
617,31598211
618,30422195
619,21451577
620,25515175
621,31101958
622,29249271
623,26611273
624,25734495
625,24826917
626,30685599
627,30350010
628,26252569
629,26109928
630,33648613
631,31516544
632,29191449
633,32347880
634,23690852
635,31350668
636,23010190
637,33074994
638,24572490
639,27819868
640,43504120
641,33430901
642,24634025
643,29615801
644,23303267
645,42760881
646,27133456
647,29585894
648,24870283
649,30890211
650,32476667
651,23834958
652,34584766
653,22345257
654,27803367
655,30751582
656,30869792
657,33607336
658,82280503
659,27180318
660,25135461
661,29781924
662,38306135
663,29461818
664,29644110
665,25507784
666,34686790
667,27762906
668,27623361
669,25746765
670,44125103
671,30321456
672,25757101
673,30683019
674,24486664
675,32463607
676,22612628
677,29849199
678,26266654
679,27252372
680,16205540
681,19327226
682,15497608
683,22732369
684,37705375
685,19046485
686,16147641
687,20531185
688,19548420
689,22433920
690,19533528
691,21212200
692,21389159
693,18313274
694,16139193
695,19423776
696,19462683
697,17742891
698,20611952
699,16365039
700,37428450
701,17277590
702,15949093
703,13753212
704,22971368
705,19507084
706,17523947
707,25341871
708,19141639
709,27274167
710,15991490
711,18412120
712,15487296
713,15702774
714,57311956
715,24169114
716,21908402
717,20605141
718,29648488
719,19848786
720,17034251
721,21599708
722,17267977
723,19627187
724,18269066
725,20095360
726,15517275
727,19675574
728,18539086
729,18607415
730,22182808
731,34475897
732,18911360
733,17118410
734,13991676
735,23304986
736,14463681
737,20445260
738,22558422
739,21032586
740,19885881
741,14086157
742,16805597
743,16132421
744,18240280
745,15392300
746,17539699
747,17251199
748,14515588
749,17188190
750,17300742
751,16226801
752,15403872
753,16298303
754,15117631
755,20307282
756,16185985
757,19756084
758,17105343
759,18831667
760,20535665
761,19487704
762,28195205
763,14887365
764,15476167
765,19245575
766,15605530
767,15600081
768,21494312
769,16000036
770,14494278
771,16254356
772,29046326
773,15410846
774,15495602
775,19952872
776,18280494
777,20459664
778,15009041
779,14977013
780,13079128
781,14331799
782,16024591
783,15857706
784,20396395
785,17011048
786,15899103
787,18508479
788,18021366
789,16611037
790,22168704
791,47141201
792,33115777
793,35052390
794,26176613
795,15464700
796,18553693
797,15393049
798,15525048
799,16448920
800,15369466
801,17590193
802,17416712
803,14715941
804,15716316
805,27280611
806,37495953
807,15654374
808,15370676
809,15527650
810,18709003
811,18517799
812,16646095
813,23261876
814,18235392
815,23592548
816,15536993
817,19892581
818,17315599
819,17476055
820,19989953
821,19792800
822,22596460
823,27239631
824,15425466
825,16329569
826,15557745
827,20198626
828,15345915
829,22395880
830,23457885
831,14348969
832,18058250
833,19075741
834,21357516
835,15354448
836,16003739
837,15800083
838,18389813
839,14644899
840,20461643
841,17293668
842,34398710
843,16236460
844,20028953
845,38908719
846,21090828
847,27352420
848,19596875
849,17700749
850,14298834
851,28104319
852,17140968
853,19343281
854,31789271
855,20417861
856,15929371
857,15895232
858,19590018
859,15329462
860,15597344
861,22366666
862,15017516
863,21522307
864,16335230
865,16921759
866,20429645
867,17493482
868,16408552
869,20473761
870,20973617
871,17631418
872,15329084
873,15474552
874,15006169
875,17561844
876,15413370
877,15286634
878,17326138
879,25751186
880,16175985
881,28114888
882,18250197
883,15888709
884,16751744
885,40047618
886,19166346
887,14377064
888,17338180
889,14106953
890,19600104
891,15551637
892,17723538
893,15244151
894,18424667
895,19579670
896,15321904
897,20565624
898,14676201
899,14322889
900,15750266
901,14657926
902,17405592
903,18649379
904,15448112
905,19069093
906,16028324
907,19696201
908,15701400
909,16471214
910,12851133
911,15079003
912,16260384
913,14323116
914,19589350
915,19297287
916,35359698
917,15313335
918,16883017
919,17093674
920,15206946
921,15078385
922,14350304
923,23634262
924,21679358
925,21771794
926,17412426
927,15283604
928,15511980
929,18563151
930,22540821
931,18706943
932,16082551
933,27767722
934,14854886
935,15152605
936,18276981
937,16239488
938,14350249
939,16486449
940,15139562
941,16272555
942,18280930
943,14931457
944,16117046
945,16947888
946,16232216
947,29150554
948,15445545
949,14243788
950,11340947
951,15289793
952,14491926
953,14020567
954,14293529
955,15351264
956,15445493
957,16763150
958,18243987
959,15402244
960,25719989
961,16851152
962,16453027
963,21206925
964,17028796
965,15319318
966,14464660
967,14548870
968,15750918
969,15646332
970,16319829
971,15672854
972,15513088
973,15506107
974,19308653
975,15128564
976,16618792
977,16551247
978,14446978
979,30333078
980,15234242
981,16087444
982,14238857
983,14183922
984,16711367
985,19061049
986,15244896
987,16525886
988,15506107
989,14649454
990,18964104
991,14428705
992,16836134
993,18201329
994,17369264
995,16359256
996,17569905
997,14873679
998,18743604
999,24288046
1000,9160386
