iteration,ns
1,654211
2,49610054
3,11458449
4,453526
5,10709520
6,18542407
7,9126837
8,16623143
9,139041625
10,9851338
11,34520647
12,12816621
13,391710
14,12036066
15,16041747
16,9457518
17,11114189
18,197812
19,28712971
20,187671
21,9741202
22,26222565
23,15658092
24,10575935
25,10197100
26,8434793
27,14993847
28,13556118
29,7496750
30,32061204
31,771989
32,11393449
33,7585327
34,10902636
35,186992
36,20951012
37,29168519
38,153966815
39,11077292
40,47630206
41,27196089
42,6294807
43,8311547
44,12832038
45,11715980
46,3153175
47,112188293
48,11140725
49,434442
50,220348
51,5738724
52,4882742
53,8681323
54,10818279
55,334122
56,54449758
57,275054
58,18279345
59,502658
60,172791584
61,18606648
62,11963923
63,8605363
64,11601613
65,23470376
66,9788666
67,17077509
68,348865
69,10905286
70,18107605
71,5947079
72,11221598
73,13646160
74,598014
75,12027128
76,8833092
77,11309951
78,7851578
79,10877295
80,19830694
81,8423084
82,14532749
83,4167951
84,9044969
85,14391163
86,11984280
87,11947984
88,8099011
89,10041774
90,5770126
91,17701549
92,32033656
93,311937
94,16071922
95,12587855
96,13479361
97,6801978
98,5013870
99,6099393
100,6083271
101,17463723
102,25086901
103,9823293
104,5202205
105,19381357
106,11781087
107,8958737
108,19426903
109,12279924
110,6879633
111,5205363
112,198108
113,16470544
114,4798383
115,22355183
116,91080267
117,10071842
118,1506324
119,13177652
120,10106391
121,11212406
122,194318
123,47074393
124,4616150
125,9385183
126,42908663
127,10334701
128,10302677
129,10736765
130,162185
131,8550641
132,12617042
133,4287367
134,25424070
135,166604
136,34247827
137,5151110
138,18593448
139,13258920
140,226960
141,6494050
142,26357382
143,5549733
144,15585268
145,11009556
146,12178552
147,234270
148,12061422
149,557235
150,10967925
151,14960887
152,14193100
153,17198263
154,4827051
155,11340410
156,15961248
157,19101475
158,7221210
159,28438605
160,12849424
161,298364
162,144450
163,194032
164,11581309
165,16684367
166,9493024
167,4742689
168,5118715
169,10945150
170,15605126
171,15272323
172,31194333
173,10076341
174,12812911
175,12626800
176,6006607
177,9412407
178,9862723
179,158977829
180,14151876
181,816146
182,12632454
183,23453253
184,927229
185,8802947
186,9646666
187,11910105
188,21956588
189,9323733
190,14412214
191,8427159
192,6700479
193,12538667
194,14768013
195,14605920
196,5629048
197,203599
198,14121302
199,11103281
200,13836954
201,21795941
202,9400906
203,388093
204,12654736
205,25272543
206,19498159
207,14339039
208,12588396
209,16256898
210,39850465
211,14738912
212,9113462
213,4889936
214,158810
215,99073996
216,14375230
217,6601714
218,31069487
219,25528098
220,15113264
221,18467570
222,9222551
223,5611592
224,36499484
225,5290512
226,10152179
227,7038272
228,12740959
229,178142
230,8542410
231,17502413
232,336980
233,27771470
234,38275674
235,17426471
236,8266804
237,20780929
238,20380536
239,11824803
240,8814649
241,21248368
242,13849189
243,48840502
244,18960070
245,21367934
246,13810095
247,14435068
248,12623007
249,16030328
250,15593407
251,8474123
252,30226643
253,29783083
254,18423094
255,9931756
256,15129701
257,7106023
258,31797804
259,11745124
260,12435446
261,58885460
262,15175056
263,17129332
264,50571268
265,5011344
266,15494504
267,20992554
268,22424172
269,39194870
270,21107199
271,13487266
272,14221277
273,25206013
274,10594758
275,20970239
276,6802531
277,5850313
278,140411
