iteration,ns
593,265973
594,293625
595,8334315
596,9907696
597,8924454
598,204208
599,7908070
600,9940441
601,196681
602,472499
603,11943805
604,274017
605,13046809
606,9979124
607,235365
608,13002797
609,4518707
610,10982321
611,260442
612,233587
613,229843
614,218683
615,7476427
616,9396648
617,237485
618,10713233
619,231382
620,607619
621,205075
622,10746771
623,164403
624,159541
625,481001
626,195174
627,5161630
628,293175
629,11364920
630,17849443
631,16324578
632,294384
633,237442
634,433336
635,631359
636,5601604
637,13745704
638,218686
639,259727
640,232011
641,147774
642,161405
643,8890570
644,14856237
645,6549948
646,178347
647,466217
648,10258965
649,15325125
650,665172
651,322413
652,7745165
653,213449
654,179307
655,14820399
656,10498427
657,7682727
658,149222
659,5840949
660,271997
661,4839793
662,159802
663,162937
664,11189707
665,250863
666,152363
667,136913
668,491531
669,8666626
670,172031
671,233770
672,512770
673,199350
674,6205783
675,12464557
676,9918576
677,191845
678,605839
679,672241
680,175785
681,14894411
682,9814243
683,173788
684,127760
685,150930
686,241377
687,190172
688,154754
689,133108
690,10414819
691,198352
692,8546514
693,7471162
694,259063
695,9570236
696,8342201
697,197596
698,155132
699,190928
700,176073
701,164316
702,7318774
703,529416
704,209824
705,149886
706,10408906
707,11273351
708,142092
709,277631
710,168985
711,15847869
712,15163621
713,164079
714,9314817
715,162392
716,162328
717,174183
718,131983
719,8580346
720,385435
721,156721
722,139360
723,148438
724,155577
725,149037
726,14675800
727,227770
728,131474
729,12695486
730,10712933
731,140612
732,12873033
733,145432
734,11692376
735,141326
736,147786
737,130717
738,147199
739,10646951
740,165485
741,227163
742,153926
743,643188
744,10953641
745,162993
746,778071
747,7893459
748,10096373
749,1143555
750,207906
751,478691
752,159894
753,9733937
754,6335658
755,278028
756,207104
757,876913
758,9773230
759,157280
760,28196998
761,220131
762,172070
763,10077131
764,482266
765,9218159
766,488982
767,390421
768,165668
769,5517327
770,9834285
771,9179706
772,279868
773,150493
774,118716
775,168881
776,7870425
777,158324
778,125873
779,172749
780,10822391
781,150232
782,136246
783,1261324
784,156577
785,148982
786,139393
787,6446845
788,9256062
789,6409285
790,362793
791,144422
792,11850085
793,12366324
794,12564165
795,175011
796,179805
797,206947
798,175348
799,143262
800,155438
801,528184
802,158034
803,146974
804,368642
805,9446794
806,158907
807,132873
808,120809
809,127223
810,11668705
811,9139536
812,5835378
813,19555228
814,9788072
815,14870416
816,440959
817,9803720
818,13320007
819,9229593
820,10885653
821,875006
822,11952646
823,5474321
824,144077
825,407981
826,151127
827,140104
828,125634
829,120655
830,133871
831,146532
832,25961012
833,183990
834,139692
835,10999654
836,7860667
837,161440
838,11051686
839,10669982
840,148523
841,13079772
842,9689477
843,584395
844,8205243
845,310809
846,380070
847,902237
848,5081763
849,411005
850,12371946
851,4823963
852,30412099
853,13250086
854,6820517
855,489711
856,8830184
857,210135
858,16539089
859,247229
860,232586
861,11646048
862,222074
863,160536
864,9592385
865,182645
866,18458433
867,246413
868,146455
869,138637
870,134568
871,129165
872,144331
873,18198048
874,12803230
875,153172
876,12960347
877,220423
878,148654
879,127979
880,10801547
881,6277107
882,145428
883,124008
884,138429
885,10629979
886,162793
887,34224921
888,14400941
889,186530
890,143612
891,9297809
892,153682
893,143397
894,6207639
895,8868846
896,24657913
897,37770669
898,198205
899,14499219
900,11973189
901,13228673
902,245424
903,21166765
904,14156081
905,222309
906,500831
907,14822177
908,250702
909,259479
910,235580
911,222572
912,220223
913,299896
914,250345
915,254946
916,23412167
917,243904
918,8878700
919,238690
920,246826
921,36391221
922,21072447
923,24050731
924,11946417
925,14475980
926,1791446
927,13687615
928,275353
929,278968
930,16361831
931,375475
932,13306600
933,283942
934,18183212
935,245813
936,7188136
937,281854
938,257857
939,11929246
940,11848841
941,17339836
942,11472939
943,299524
944,1954721
945,256476
946,352945
947,32285184
948,3996672
949,292036
950,2887354
951,249674
952,648214
953,21139400
954,276151
955,101745980
956,257723
957,22950636
958,251550
959,214559
960,242192
961,10206070
962,232069
963,168344
964,175433
965,12880465
966,10247066
967,235718
968,14444089
969,248950
970,1091031
971,17168548
972,1908314
973,260744
974,8438523
975,270263
976,199568
977,159351
978,188977
979,8799444
980,228394
981,166633
982,2347929
983,677718
984,174006
985,12138096
986,9983207
987,208019
988,185735
989,206472
990,183984
991,4873128
992,184273
993,11461706
994,20260231
995,266226
996,201866
997,170635
998,648197
999,4372402
1000,5253246
